x plastic strain,x true stress,y plastic strain,y true stress
0.01058,1094.89055,1.78E-04,550.09265
0.0106,1096.27025,1.78E-04,548.5518
0.01062,1095.58647,1.77E-04,549.5596
0.01064,1095.26335,1.80E-04,548.954
0.01065,1096.29836,1.78E-04,549.53374
0.01067,1096.49101,1.80E-04,549.69001
0.01069,1096.74297,1.79E-04,549.18679
0.0107,1096.46339,1.80E-04,550.05149
0.01072,1096.81652,1.81E-04,549.33013
0.01074,1097.28054,1.79E-04,550.16748
0.01075,1097.65606,1.81E-04,549.14229
0.01077,1097.68499,1.79E-04,550.38068
0.01079,1097.67316,1.82E-04,549.58052
0.0108,1098.22067,1.81E-04,550.70814
0.01082,1098.25844,1.82E-04,550.40259
0.01084,1098.58516,1.82E-04,550.38647
0.01085,1099.15417,1.83E-04,551.29358
0.01088,1099.31334,1.83E-04,550.1516
0.01089,1098.46322,1.83E-04,551.17205
0.01091,1099.15266,1.85E-04,550.48169
0.01092,1099.56796,1.85E-04,552.17061
0.01094,1100.13864,1.86E-04,550.74874
0.01096,1100.20834,1.84E-04,551.50229
0.01098,1100.11287,1.86E-04,551.30606
0.01099,1100.05165,1.86E-04,551.45558
0.01101,1100.55563,1.86E-04,552.05328
0.01103,1101.12523,1.86E-04,550.93082
0.01104,1100.64163,1.87E-04,552.24498
0.01106,1101.09418,1.88E-04,551.61738
0.01108,1101.10011,1.87E-04,552.85175
0.01109,1101.82146,1.90E-04,551.8263
0.01111,1102.2931,1.87E-04,552.545
0.01113,1102.24084,1.89E-04,551.95734
0.01115,1102.41493,1.89E-04,552.45882
0.01116,1102.43652,1.92E-04,553.73216
0.01118,1102.82787,1.91E-04,552.51689
0.0112,1102.8981,1.90E-04,553.25909
0.01121,1103.06576,1.91E-04,552.15829
0.01123,1103.06661,1.90E-04,553.4908
0.01125,1103.32884,1.93E-04,552.70312
0.01126,1103.74969,1.92E-04,553.75947
0.01128,1104.31521,1.95E-04,553.69402
0.0113,1104.12738,1.93E-04,553.74107
0.01131,1104.58492,1.94E-04,553.82566
0.01133,1104.22245,1.95E-04,553.37096
0.01135,1104.67483,1.94E-04,554.09167
0.01137,1104.59333,1.96E-04,553.34944
0.01138,1104.94248,1.95E-04,554.66677
0.0114,1105.43086,1.98E-04,553.6902
0.01142,1105.39789,1.95E-04,554.78277
0.01143,1105.67855,1.98E-04,554.21541
0.01145,1105.91393,1.97E-04,554.77931
0.01147,1106.25385,1.98E-04,554.49966
0.01149,1106.44865,1.96E-04,553.88731
0.0115,1106.36286,1.97E-04,554.59104
0.01152,1106.81846,1.98E-04,554.04867
0.01154,1106.75056,1.97E-04,555.18226
0.01155,1106.7487,2.00E-04,554.19831
0.01157,1107.53543,2.00E-04,556.15136
0.01158,1107.52465,2.02E-04,555.10205
0.0116,1107.5043,1.99E-04,555.39949
0.01162,1107.47954,2.01E-04,555.18569
0.01164,1108.29271,2.00E-04,555.10326
0.01165,1108.1884,2.01E-04,555.82655
0.01167,1108.08187,2.03E-04,555.22545
0.01168,1108.68591,2.04E-04,557.30265
0.0117,1108.73828,2.04E-04,555.55899
0.01172,1108.79491,2.03E-04,556.81912
0.01174,1109.32886,2.05E-04,555.73966
0.01175,1109.62835,2.03E-04,556.52273
0.01177,1109.68079,2.04E-04,555.99662
0.01179,1109.44097,2.04E-04,556.29662
0.0118,1109.58897,2.05E-04,556.81772
0.01182,1110.62719,2.04E-04,556.08736
0.01184,1110.21594,2.04E-04,556.99942
0.01186,1110.33962,2.06E-04,556.07279
0.01187,1110.61482,2.05E-04,557.58489
0.01189,1110.72811,2.07E-04,556.42229
0.01191,1111.43399,2.05E-04,557.2167
0.01192,1111.74084,2.08E-04,557.10194
0.01194,1111.29452,2.08E-04,557.5009
0.01196,1111.45211,2.09E-04,557.72758
0.01198,1111.72535,2.09E-04,557.06841
0.01199,1112.01959,2.09E-04,557.98656
0.01201,1112.36119,2.10E-04,557.09113
0.01203,1112.67764,2.08E-04,558.19477
0.01204,1112.8836,2.11E-04,557.29987
0.01206,1112.78008,2.10E-04,558.49256
0.01208,1112.88421,2.11E-04,557.52452
0.01209,1112.91619,2.10E-04,557.9158
0.01211,1113.6733,2.12E-04,558.35695
0.01213,1113.64498,2.11E-04,557.83138
0.01215,1113.79619,2.12E-04,558.9779
0.01216,1113.92878,2.14E-04,558.09825
0.01218,1114.34434,2.12E-04,559.22391
0.01219,1114.32705,2.15E-04,558.17019
0.01221,1114.43184,2.13E-04,559.34032
0.01223,1115.00525,2.14E-04,558.32614
0.01225,1115.03807,2.13E-04,558.99048
0.01227,1114.9398,2.15E-04,558.98613
0.01228,1115.12417,2.15E-04,558.72666
0.0123,1115.6509,2.16E-04,559.57567
0.01232,1115.36326,2.17E-04,558.65099
0.01233,1115.87085,2.15E-04,559.69817
0.01235,1115.82574,2.17E-04,558.71292
0.01237,1115.85594,2.16E-04,559.94538
0.01238,1116.42088,2.18E-04,559.11345
0.0124,1116.83604,2.16E-04,559.77865
0.01242,1116.35096,2.19E-04,559.57182
0.01243,1116.57721,2.19E-04,559.978
0.01245,1116.96924,2.21E-04,561.02854
0.01247,1117.49685,2.20E-04,559.66005
0.01248,1117.79362,2.19E-04,560.66889
0.0125,1117.78834,2.21E-04,559.96063
0.01252,1117.1495,2.21E-04,561.05554
0.01254,1117.78925,2.23E-04,560.03344
0.01255,1118.63518,2.21E-04,561.00863
0.01257,1118.59882,2.23E-04,560.51037
0.01259,1118.18861,2.22E-04,560.47645
0.01261,1118.52416,2.23E-04,561.16912
0.01262,1118.41107,2.25E-04,560.75247
0.01264,1119.60141,2.23E-04,561.86329
0.01266,1119.54768,2.25E-04,560.76695
0.01268,1119.38301,2.23E-04,561.83255
0.01269,1119.43037,2.25E-04,560.80119
0.01271,1119.59538,2.24E-04,561.74972
0.01273,1120.00781,2.27E-04,561.24568
0.01274,1120.12183,2.25E-04,561.53653
0.01276,1119.99814,2.28E-04,562.11452
0.01278,1120.49655,2.27E-04,561.59365
0.01279,1120.53191,2.27E-04,562.46154
0.01281,1120.61,2.29E-04,561.45494
0.01283,1121.08864,2.28E-04,563.02585
0.01285,1121.36706,2.30E-04,561.85345
