x plastic strain,x true stress,y plastic strain,y true stress
1.15E-05,1.24266,2.79E-05,1.98997
1.10E-05,1.26145,2.94E-05,1.84247
1.04E-05,1.86179,2.89E-05,1.99948
9.49E-06,1.67436,2.81E-05,2.75744
9.56E-06,1.11902,3.13E-05,2.03822
9.12E-06,1.35262,2.76E-05,3.09537
8.56E-06,1.81238,3.10E-05,2.22052
9.44E-06,1.48113,2.83E-05,2.59208
1.06E-05,1.17934,3.00E-05,2.13749
1.04E-05,1.42406,3.00E-05,2.15094
9.65E-06,1.56,2.83E-05,3.16356
9.64E-06,1.42476,3.08E-05,2.6162
9.80E-06,1.85762,2.77E-05,3.23732
8.85E-06,1.85437,3.08E-05,2.62131
8.96E-06,1.37001,2.90E-05,3.1638
8.72E-06,1.43218,2.90E-05,3.00098
8.36E-06,1.77387,2.98E-05,2.72359
8.40E-06,1.75207,2.79E-05,3.28626
1.02E-05,1.3728,3.08E-05,2.46289
1.08E-05,1.96386,2.66E-05,3.49476
9.67E-06,2.34963,2.96E-05,3.2742
9.25E-06,2.27771,2.78E-05,3.72624
1.04E-05,2.36424,2.79E-05,3.57502
1.02E-05,2.37538,2.93E-05,2.97338
9.59E-06,2.62103,2.66E-05,3.71
9.47E-06,2.15291,2.97E-05,3.08935
9.14E-06,2.19977,2.66E-05,4.18663
9.18E-06,2.47582,2.92E-05,3.72045
9.50E-06,2.33246,2.75E-05,4.27407
9.52E-06,2.07706,2.72E-05,4.48444
8.88E-06,2.40321,2.89E-05,3.93151
8.58E-06,2.73632,2.64E-05,4.53198
8.85E-06,2.38117,3.02E-05,3.78261
8.47E-06,2.12531,2.74E-05,4.97128
7.86E-06,2.6774,2.94E-05,4.45778
8.39E-06,2.86761,2.81E-05,4.61572
8.86E-06,2.16846,2.80E-05,4.63312
9.78E-06,2.29998,2.93E-05,4.11961
8.88E-06,3.01724,2.61E-05,5.81553
9.18E-06,2.93442,2.85E-05,4.82052
9.38E-06,2.79153,2.60E-05,5.37531
9.58E-06,3.07616,2.79E-05,4.52016
8.99E-06,3.06317,2.76E-05,4.82261
8.78E-06,2.74769,2.70E-05,5.47505
8.49E-06,2.89777,2.92E-05,4.92722
7.50E-06,3.25176,2.64E-05,6.30191
8.33E-06,2.87875,2.96E-05,5.45581
9.77E-06,2.7289,2.65E-05,5.95748
9.04E-06,3.12394,2.77E-05,5.74132
8.33E-06,3.54775,2.75E-05,5.70885
8.06E-06,3.28423,2.61E-05,6.21795
8.42E-06,3.05574,2.85E-05,5.50985
7.83E-06,3.31624,2.53E-05,6.42669
6.05E-06,3.2768,2.86E-05,6.64404
6.71E-06,3.20188,2.62E-05,7.38856
8.31E-06,3.33388,2.72E-05,6.4768
7.81E-06,3.506,2.77E-05,6.56471
8.69E-06,3.72382,2.51E-05,7.08007
8.67E-06,3.5749,2.77E-05,6.35782
7.51E-06,4.06853,2.51E-05,7.42427
6.42E-06,3.82542,2.84E-05,6.96551
6.61E-06,3.3167,2.66E-05,7.67756
6.91E-06,3.55239,2.69E-05,7.82276
6.20E-06,3.94187,2.77E-05,7.54467
6.78E-06,3.71686,2.54E-05,8.23723
7.05E-06,3.41599,2.79E-05,7.42916
7.68E-06,3.97597,2.45E-05,8.18481
7.93E-06,4.60624,2.67E-05,7.60241
8.00E-06,4.25921,2.55E-05,7.78796
7.42E-06,4.07688,2.64E-05,7.70308
6.58E-06,4.27312,2.79E-05,7.46279
5.38E-06,4.14252,2.55E-05,9.25548
6.63E-06,4.16015,2.80E-05,8.40402
7.97E-06,4.79785,2.39E-05,8.62573
8.93E-06,5.00802,2.61E-05,7.88631
8.54E-06,4.43945,2.49E-05,8.66702
7.48E-06,4.56773,2.46E-05,9.5512
6.29E-06,5.05463,2.61E-05,9.28123
5.99E-06,5.07064,2.38E-05,10.02784
7.02E-06,4.63175,2.71E-05,8.82941
6.48E-06,4.6793,2.42E-05,9.62611
