x plastic strain,x true stress,y plastic strain,y true stress
-8.82E-06,1.07289,-1.84E-05,0.62558
-8.55E-06,1.09933,-2.13E-05,1.35437
-9.04E-06,1.46073,-2.15E-05,0.71046
-8.57E-06,1.4275,-2.33E-05,0.96213
-6.68E-06,1.1364,-2.42E-05,1.11151
-6.06E-06,1.20759,-2.50E-05,0.66089
-6.91E-06,1.88157,-2.63E-05,1.42385
-6.90E-06,1.90644,-2.52E-05,0.6249
-5.62E-06,1.96249,-2.63E-05,1.28511
-6.23E-06,1.98893,-2.57E-05,1.10653
-6.63E-06,2.04928,-2.59E-05,0.92117
-7.08E-06,2.1103,-2.64E-05,1.44874
-6.61E-06,2.04453,-2.49E-05,0.64821
-6.45E-06,2.04973,-2.65E-05,1.42453
-6.28E-06,2.0095,-2.53E-05,0.90646
-6.11E-06,2.02058,-2.60E-05,1.10789
-7.11E-06,2.32999,-2.61E-05,1.34418
-6.67E-06,2.3492,-2.53E-05,0.74191
-5.99E-06,2.15076,-2.63E-05,1.58002
-6.31E-06,2.13132,-2.50E-05,0.92162
-7.16E-06,2.48391,-2.63E-05,1.41434
-7.28E-06,2.55533,-2.56E-05,1.25003
-6.29E-06,2.2753,-2.53E-05,0.93995
-6.31E-06,2.2475,-2.62E-05,1.61306
-7.29E-06,2.59149,-2.50E-05,0.90917
-7.86E-06,2.71377,-2.60E-05,1.56078
-6.85E-06,2.49295,-2.45E-05,1.0495
-6.53E-06,2.46854,-2.51E-05,1.2163
-7.02E-06,2.721,-2.51E-05,1.65131
-7.32E-06,2.8087,-2.42E-05,1.01034
-6.69E-06,2.7436,-2.54E-05,1.75135
-6.76E-06,2.81796,-2.46E-05,1.06828
-6.69E-06,2.84418,-2.52E-05,1.56214
-7.06E-06,2.84802,-2.49E-05,1.61374
-7.14E-06,2.98567,-2.45E-05,1.18168
-7.76E-06,3.12037,-2.52E-05,1.78462
-7.06E-06,2.64619,-2.38E-05,1.01555
-6.88E-06,2.76146,-2.51E-05,1.71627
-7.28E-06,3.61762,-2.43E-05,1.44535
-7.63E-06,3.98942,-2.49E-05,1.40212
-6.90E-06,3.68429,-2.49E-05,1.84732
-6.37E-06,3.58937,-2.36E-05,1.18643
-7.58E-06,3.8642,-2.44E-05,2.20357
-8.05E-06,4.05428,-2.39E-05,1.61216
-7.14E-06,3.88319,-2.47E-05,1.8274
-7.31E-06,3.819,-2.29E-05,2.31108
-7.84E-06,4.02242,-2.31E-05,1.72601
-7.91E-06,4.20481,-2.47E-05,2.36879
-7.18E-06,4.10401,-2.35E-05,1.45079
-6.97E-06,4.09588,-2.45E-05,2.02046
-7.48E-06,4.26268,-2.38E-05,1.86203
-7.21E-06,4.3167,-2.38E-05,1.74841
-7.09E-06,4.33094,-2.45E-05,2.37648
-7.48E-06,4.44372,-2.27E-05,1.69885
-7.29E-06,4.40552,-2.42E-05,2.40523
-6.92E-06,4.4713,-2.30E-05,1.88037
-6.99E-06,4.62861,-2.36E-05,2.09312
-7.80E-06,4.82298,-2.34E-05,2.43262
-6.75E-06,4.73936,-2.27E-05,1.80024
-6.43E-06,4.65415,-2.37E-05,2.52134
-7.11E-06,4.95476,-2.23E-05,1.8953
-7.66E-06,5.20971,-2.29E-05,2.55461
-6.92E-06,5.08156,-2.26E-05,2.47653
-6.70E-06,4.83451,-2.21E-05,2.1024
-7.21E-06,4.92289,-2.29E-05,2.83843
-8.02E-06,5.09986,-2.14E-05,2.15989
-7.38E-06,4.95995,-2.25E-05,2.99166
-6.89E-06,4.9812,-2.16E-05,2.48694
-7.59E-06,5.23638,-2.23E-05,2.43964
-7.62E-06,5.47913,-2.24E-05,2.82463
-7.23E-06,5.52094,-2.18E-05,2.23481
-7.27E-06,5.57564,-2.29E-05,3.07156
-7.07E-06,5.59983,-2.12E-05,2.41451
-6.77E-06,5.69883,-2.16E-05,2.92467
-7.05E-06,5.86359,-2.13E-05,2.98985
-7.60E-06,6.07538,-2.13E-05,2.61256
-6.75E-06,6.04035,-2.22E-05,3.36715
-6.25E-06,5.89163,-2.07E-05,2.60147
-7.18E-06,6.13663,-2.17E-05,3.2988
-8.02E-06,6.5168,-2.09E-05,2.99914
-7.40E-06,6.39,-2.16E-05,2.95975
-6.71E-06,6.24354,-2.13E-05,3.56452
-6.93E-06,6.482,-2.00E-05,2.81603
-7.87E-06,6.95981,-2.14E-05,3.60775
-7.27E-06,6.84657,-2.04E-05,3.11049
-6.66E-06,6.66463,-2.06E-05,3.64713
-8.34E-06,6.94308,-1.87E-05,4.46625
-8.60E-06,7.10469,-1.84E-05,3.81055
-7.82E-06,6.93472,-1.97E-05,4.40536
-7.61E-06,6.76995,-1.86E-05,3.57743
-7.73E-06,6.90873,-1.96E-05,4.17269
-7.40E-06,7.32778,-1.92E-05,4.02964
