x plastic strain,x true stress,y plastic strain,y true stress
-4.37E-05,0.8487,1.53E-05,1.8522
-4.39E-05,1.08217,1.82E-05,1.05203
-4.43E-05,1.47252,1.62E-05,1.57364
-4.37E-05,0.98075,1.72E-05,1.46755
-4.36E-05,0.75239,1.79E-05,1.20872
-4.35E-05,1.3233,1.55E-05,1.93739
-4.40E-05,1.64821,1.82E-05,1.25561
-4.38E-05,1.21121,1.52E-05,2.0834
-4.31E-05,1.13973,1.79E-05,1.5481
-4.25E-05,1.58184,1.61E-05,2.26795
-4.32E-05,1.70135,1.63E-05,2.20272
-4.34E-05,1.53681,1.79E-05,1.89631
-4.27E-05,1.41845,1.55E-05,2.4713
-4.25E-05,1.46371,1.85E-05,1.66742
-4.27E-05,1.47369,1.51E-05,2.55603
-4.32E-05,1.56211,1.80E-05,1.97848
-4.30E-05,1.50061,1.69E-05,2.21364
-4.24E-05,1.32748,1.69E-05,2.37102
-4.24E-05,1.60574,1.80E-05,2.01075
-4.25E-05,1.85754,1.50E-05,2.70437
-4.26E-05,1.81971,1.82E-05,1.96223
-4.37E-05,0.74357,1.63E-05,2.64703
-4.46E-05,0.83803,1.88E-05,2.12218
-4.32E-05,1.8167,1.69E-05,2.37172
-4.28E-05,1.67838,1.56E-05,2.56857
-4.22E-05,1.4716,1.80E-05,2.03652
-4.05E-05,2.07617,1.52E-05,2.64123
-3.98E-05,2.49228,1.78E-05,1.86242
-4.12E-05,1.91,1.52E-05,2.58714
-4.18E-05,1.51685,1.71E-05,2.23522
-4.18E-05,1.88284,1.70E-05,2.2589
-4.16E-05,2.03346,1.57E-05,2.51773
-4.08E-05,2.01049,1.80E-05,1.962
-4.03E-05,2.10193,1.44E-05,2.74917
-4.07E-05,2.23351,1.73E-05,2.00982
-4.09E-05,2.1683,1.54E-05,2.57739
-4.07E-05,2.05458,1.66E-05,2.21503
-3.96E-05,2.32797,1.67E-05,2.18299
-3.91E-05,2.5025,1.43E-05,2.66722
-3.88E-05,2.67122,1.70E-05,1.97036
-3.96E-05,2.47813,1.43E-05,2.67883
-3.89E-05,2.4656,1.71E-05,1.95945
-4.05E-05,2.30105,1.60E-05,2.59759
-5.09E-05,2.62524,2.20E-05,3.00408
-5.34E-05,2.60829,2.38E-05,2.86178
-5.58E-05,2.30774,2.30E-05,3.37504
-5.55E-05,2.16711,2.60E-05,2.71902
-5.78E-05,2.57509,2.34E-05,3.6095
